Timestamp,BodyTemp_Mean,BodyTemp_Min,BodyTemp_Max,T1_Mean,T1_Min,T1_Max,TH_Mean,TH_Min,TH_Max
2025-08-07 12:30:30,34.29,34.1,34.5,32.85,32.58,33.2,32.51,32.23,32.74
2025-08-07 12:31:00,34.29,34.1,34.5,33.34,32.98,33.63,32.96,32.66,33.22
2025-08-07 12:31:30,34.3,34.1,34.5,33.76,33.54,34.0,33.33,33.12,33.52
2025-08-07 12:32:00,34.3,34.1,34.5,34.19,33.91,34.41,33.85,33.51,34.2
2025-08-07 12:32:30,34.29,34.1,34.5,34.61,34.34,34.97,34.29,34.08,34.48
2025-08-07 12:33:00,34.31,34.2,34.5,34.94,34.65,35.23,34.49,34.38,34.56
2025-08-07 12:33:30,34.3,34.1,34.5,35.19,35.01,35.35,34.7,34.51,35.04
2025-08-07 12:34:00,34.31,34.1,34.5,35.4,35.18,35.58,34.83,34.67,35.01
2025-08-07 12:34:30,34.3,34.1,34.5,35.51,35.4,35.7,34.48,34.05,34.79
2025-08-07 12:35:00,34.31,34.1,34.5,35.61,35.47,35.8,34.02,33.84,34.18
2025-08-07 12:35:30,34.33,34.2,34.5,35.68,35.52,35.84,33.89,33.77,34.03
2025-08-07 12:36:00,34.28,34.2,34.4,35.82,35.66,35.97,34.07,33.94,34.17
2025-08-07 12:36:30,34.31,34.1,34.5,36.02,35.82,36.23,34.24,34.15,34.36
2025-08-07 12:37:00,34.3,34.1,34.5,36.18,36.05,36.31,34.43,34.29,34.57
2025-08-07 12:37:30,34.3,34.1,34.5,36.3,36.17,36.45,34.57,34.4,34.73
2025-08-07 12:38:00,34.29,34.1,34.5,36.48,36.32,36.77,34.78,34.66,34.89
2025-08-07 12:38:30,34.29,34.1,34.5,36.62,36.45,36.75,34.95,34.83,35.07
2025-08-07 12:39:00,34.26,34.1,34.4,36.74,36.57,36.92,35.06,34.96,35.15
2025-08-07 12:39:30,34.29,34.1,34.5,36.8,36.66,36.97,35.17,35.01,35.36
2025-08-07 12:40:00,34.31,34.1,34.5,36.67,36.48,37.04,34.18,33.58,35.35
2025-08-07 12:40:30,34.3,34.3,34.3,36.47,36.47,36.47,33.52,33.52,33.52
