Timestamp,Mean_Rate,Min_Rate,Max_Rate
2025-07-26 11:42:40,87.52,80.54,93.75
2025-07-26 11:43:00,86.98,78.95,93.75
2025-07-26 11:43:20,87.73,81.08,94.49
2025-07-26 11:43:40,86.11,77.42,93.75
2025-07-26 11:44:00,88.77,83.33,95.24
2025-07-26 11:44:20,88.33,81.08,93.02
2025-07-26 11:44:40,91.0,85.11,95.24
2025-07-26 11:45:00,92.66,87.59,97.56
2025-07-26 11:45:20,92.85,88.89,99.17
2025-07-26 11:45:40,91.77,86.33,98.36
2025-07-26 11:46:00,91.71,86.33,96.0
2025-07-26 11:46:20,95.11,87.59,109.09
2025-07-26 11:46:40,99.32,92.31,105.26
2025-07-26 11:47:00,99.75,96.0,109.09
2025-07-26 11:47:20,97.97,92.31,102.56
2025-07-26 11:47:40,97.43,93.75,101.69
